Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-16,09:00:00,0.2,16.25,0.1875,0.09375,10.3835605987
2024-08-16,09:15:00,0.2,17.5625,0.09375,0.21875,11.5935462993
2024-08-16,09:30:00,0.2,18.6875,0.21875,0.09375,13.285181067
2024-08-16,09:45:00,0.2,18.125,0.1875,0.1875,13.1233266225
2024-08-16,10:00:00,0.2,22.1875,0.09375,0.21875,13.1262241374
2024-08-16,10:15:00,0.2,19.0,0.21875,0.09375,15.9078691212
2024-08-16,10:30:00,0.2,23.1875,0.1875,0.1875,14.9613073433
2024-08-16,10:45:00,0.2,19.25,0.21875,0.21875,17.6739411067
2024-08-16,11:00:00,0.2,26.6875,0.09375,0.09375,18.5909504415
2024-08-16,11:15:00,0.2,25.875,0.1875,0.1875,19.32876845
2024-08-16,11:30:00,0.2,22.6875,0.21875,0.09375,19.8857868169
2024-08-16,11:45:00,0.2,24.9375,0.09375,0.21875,20.1364715956
2024-08-16,12:00:00,0.2,24.6875,0.1875,0.1875,21.3428986231
2024-08-16,12:15:00,0.2,26.125,0.21875,0.09375,21.5087260177
2024-08-16,12:30:00,0.2,26.0625,0.09375,0.21875,22.0682295317
2024-08-16,12:45:00,0.2,26.125,0.1875,0.09375,23.014175916
2024-08-16,13:00:00,0.2,27.1875,0.21875,0.1875,23.9368460206
2024-08-16,13:15:00,0.2,28.1875,0.1875,0.21875,21.7931814988
2024-08-16,13:30:00,0.2,27.6875,0.09375,0.09375,22.3854067034
2024-08-16,13:45:00,0.2,26.625,0.21875,0.1875,23.3147555372
2024-08-16,14:00:00,0.2,26.125,0.1875,0.125,23.8261302368
2024-08-16,14:15:00,0.2,26.75,0.09375,0.1875,22.8831005749
2024-08-16,14:30:00,0.2,27.25,0.21875,0.1875,23.8794256814
2024-08-16,14:45:00,0.2,28.875,0.1875,0.125,23.2072188583
2024-08-16,15:00:00,0.2,35.5,0.1875,0.1875,24.1454158867
2024-08-16,15:15:00,0.2,31.625,0.125,0.09375,23.609624779
2024-08-16,15:30:00,0.2,32.0,0.1875,0.21875,25.5138754131
2024-08-16,15:45:00,0.2,33.25,0.1875,0.1875,24.1643572808
2024-08-16,16:00:00,0.2,34.25,0.125,0.09375,25.4135354303
2024-08-16,16:15:00,0.2,32.5,0.1875,0.21875,23.8034025952
2024-08-16,16:30:00,0.2,31.0625,0.1875,0.09375,25.6341653716
2024-08-16,16:45:00,0.2,30.6875,0.125,0.1875,23.1210645247
2024-08-16,17:00:00,0.2,29.5,0.1875,0.09375,24.7569663702
2024-08-16,17:15:00,0.2,28.4375,0.1875,0.21875,22.579285145
2024-08-16,17:30:00,0.2,28.1875,0.125,0.1875,23.6803108398
2024-08-16,17:45:00,0.2,28.125,0.1875,0.09375,23.4243244521
2024-08-16,18:00:00,0.2,28.6875,0.1875,0.21875,23.7245904552
2024-08-16,18:15:00,0.2,29.1875,0.125,0.09375,23.2715634427
